id,name,lat,lng,popularity,tags,description
1,Taytay Falls,14.1152742,121.5001628,Very High,"nature,waterfall,swimming","A refreshing waterfall with cool, crystal-clear waters surrounded by lush forest, perfect for swimming and relaxing in nature.",
2,Bukal (Kilangin) Falls,14.103759,121.4697418,Very High,"nature,waterfall,adventure,hiking","Known as a hidden paradise, this falls requires a scenic hike and rewards visitors with pristine waters and a peaceful escape.",
3,Sprite Falls,14.145500791217328,121.4938456324438,High,"nature,waterfall,adventure,hiking","A small but charming waterfall ideal for hikers seeking a less crowded spot close to Majayjay's forests.",
4,Dalitiwan Stream / Resort,14.1470,121.4917,High,"nature,relax,swimming,garden","A nature-themed resort featuring streams, swimming spots, and gardens, perfect for family picnics and relaxation.",
5,Minor Basilica of St. Gregory the Great (Majayjay Church),14.146559615012109,121.47127557615893,Very High,"history,culture,religion,architecture","A centuries-old Spanish colonial church, admired for its baroque architecture and cultural heritage.",
6,Costales Nature Farm,14.134788,121.5037838,High,"nature,farm,agri,organic","The Philippines’ leading agri-tourism destination promoting organic farming and farm-to-table experiences.",
7,Mount Banahaw–San Cristobal Protected Landscape,14.104836,121.485047,Very High,"nature,forest,spiritual,hiking","A sacred mountain with rich biodiversity, popular for trekking, spiritual pilgrimages, and eco-adventures.",
8,APA Farms & Leisure,14.13754233301495,121.46226369278503,Moderate,"nature,animal,farm,agri","A leisure farm where guests can enjoy nature, interact with farm animals, and learn sustainable farming.",
9,Resort River Front,14.134505,121.4504595,Moderate,"nature","A riverside escape offering fresh air, cool waters, and a laid-back atmosphere for weekend getaways.",
10,AIDA AURORA NATURES FARM,14.137864287160463,121.48358156594759,Moderate,"nature,farm","A peaceful nature farm that promotes organic farming, with green surroundings ideal for relaxation.",
11,La Triccias Resort Hotel Events and Restaurant,14.139773659342843,121.50162771159245,Moderate,"restaurant","A resort and events venue with modern amenities and a restaurant that serves local and international cuisine.",
12,Samkara Restaurant and Garden Resort,14.133451759124187,121.51700650936334,Moderate,"restaurant","A rustic restaurant and resort surrounded by lush gardens, known for its traditional Filipino dishes.",
13,Malinao Resort,14.13313978446695,121.5167068255135,Moderate,"resort,nature","A tranquil resort with access to natural streams and cottages for relaxation.",
14,Valencia Transient House & Events Place,14.133503927115198,121.51602018000905,Low,"resort","A budget-friendly lodging and events space for families and groups.",
15,Bern's La Bistro,14.145455880247939,121.47181347017539,Moderate,"restaurant","A cozy bistro offering comfort food and local favorites in the heart of Majayjay.",
16,Jabella,14.145318037243909,121.47185697175341,Moderate,"restaurant","A local eatery serving affordable and freshly prepared home-style meals.",
17,D' Brews Delight,14.145689195398573,121.47180593651628,Moderate,"coffee","A small coffee shop perfect for quick caffeine fixes and casual meetups.",
